stopId,dateTime,desCityName,desStopAreaId,desStopName,lineColor,lineName,stopAreaName,shortName,realTime,getTime
3377704015496685,2020-06-15 09:18:21,TOULOUSE,1970324837184594,Marengo-SNCF,"(255,103,27)",Marengo - SNCF / Gonin,Tisséo,L8,yes,1592205290
3377704015496685,2020-06-15 09:20:21,TOULOUSE,1970324837184594,Marengo-SNCF,"(187,157,198)",Basso Cambo / Marengo - SNCF,Tisséo,14,yes,1592205290
3377704015496685,2020-06-15 09:24:40,TOULOUSE,1970324838318954,Rangueil,"(160,103,15)",Jeanne d'Arc / Rangueil,Tisséo,23,yes,1592205290
3377704015496685,2020-06-15 09:25:29,TOULOUSE,1970324837184594,Marengo-SNCF,"(255,103,27)",Marengo - SNCF / Gonin,Tisséo,L8,yes,1592205290
3377704015496685,2020-06-15 09:34:49,TOULOUSE,1970324837184594,Marengo-SNCF,"(187,157,198)",Basso Cambo / Marengo - SNCF,Tisséo,14,yes,1592205290
3377704015496685,2020-06-15 09:36:37,TOULOUSE,1970324837184594,Marengo-SNCF,"(255,103,27)",Marengo - SNCF / Gonin,Tisséo,L8,yes,1592205290
3377704015496685,2020-06-15 09:44:40,TOULOUSE,1970324838318954,Rangueil,"(160,103,15)",Jeanne d'Arc / Rangueil,Tisséo,23,yes,1592205290
3377704015496685,2020-06-15 09:46:01,TOULOUSE,1970324837184594,Marengo-SNCF,"(255,103,27)",Marengo - SNCF / Gonin,Tisséo,L8,yes,1592205290
3377704015496685,2020-06-15 09:49:29,TOULOUSE,1970324837184594,Marengo-SNCF,"(187,157,198)",Basso Cambo / Marengo - SNCF,Tisséo,14,yes,1592205290
3377704015496685,2020-06-15 09:56:01,TOULOUSE,1970324837184594,Marengo-SNCF,"(255,103,27)",Marengo - SNCF / Gonin,Tisséo,L8,yes,1592205290
3377704015496685,2020-06-15 10:03:00,TOULOUSE,1970324837184594,Marengo-SNCF,"(187,157,198)",Basso Cambo / Marengo - SNCF,Tisséo,14,yes,1592205290
3377704015496685,2020-06-15 10:04:40,TOULOUSE,1970324838318954,Rangueil,"(160,103,15)",Jeanne d'Arc / Rangueil,Tisséo,23,yes,1592205290
3377704015496685,2020-06-15 10:06:01,TOULOUSE,1970324837184594,Marengo-SNCF,"(255,103,27)",Marengo - SNCF / Gonin,Tisséo,L8,yes,1592205290
3377704015496685,2020-06-15 10:16:01,TOULOUSE,1970324837184594,Marengo-SNCF,"(255,103,27)",Marengo - SNCF / Gonin,Tisséo,L8,yes,1592205290
3377704015496685,2020-06-15 10:19:00,TOULOUSE,1970324837184594,Marengo-SNCF,"(187,157,198)",Basso Cambo / Marengo - SNCF,Tisséo,14,yes,1592205290
3377704015496685,2020-06-15 10:24:40,TOULOUSE,1970324838318954,Rangueil,"(160,103,15)",Jeanne d'Arc / Rangueil,Tisséo,23,yes,1592205290
3377704015496685,2020-06-15 10:26:00,TOULOUSE,1970324837184594,Marengo-SNCF,"(255,103,27)",Marengo - SNCF / Gonin,Tisséo,L8,no,1592205290
3377704015496685,2020-06-15 10:36:00,TOULOUSE,1970324837184594,Marengo-SNCF,"(187,157,198)",Basso Cambo / Marengo - SNCF,Tisséo,14,no,1592205290
3377704015496685,2020-06-15 10:36:00,TOULOUSE,1970324837184594,Marengo-SNCF,"(255,103,27)",Marengo - SNCF / Gonin,Tisséo,L8,no,1592205290
3377704015496685,2020-06-15 10:44:39,TOULOUSE,1970324838318954,Rangueil,"(160,103,15)",Jeanne d'Arc / Rangueil,Tisséo,23,no,1592205290
